Summary,Issue Type,Priority,Epic Link,Labels,Description
Game Design Document (GDD),Task,High,Pre-production,PM,"Tài liệu thiết kế game tổng thể: rules, gameplay flow, monetization, UI/UX specs"
Resource & Timeline Planning,Task,High,Pre-production,OP,"Lập kế hoạch nguồn lực, timeline, phân bổ nhân sự cho toàn dự án"
UI/UX Wireframe - Lobby,Task,High,Pre-production,Design,"Wireframe màn hình lobby, menu chính, navigation flow"
UI/UX Wireframe - Gameplay,Task,High,Pre-production,Design,"Wireframe màn chơi chính: bàn poker, action buttons, chip display"
Art Style Guide,Task,High,Pre-production,Art,"Định hướng phong cách visual: color palette, typography, art direction"
Technical Architecture,Task,High,Pre-production,Dev,"Kiến trúc kỹ thuật, stack công nghệ, server infrastructure, networking approach"
Prototype - Core Gameplay,Task,Medium,Pre-production,Dev,"Prototype logic chia bài, xác định tay bài, hệ thống đặt cược cơ bản"
QA Test Plan,Task,Medium,Pre-production,QC,"Lập kế hoạch test tổng thể: test cases, test matrix, acceptance criteria"
Card Design (52 lá bài),Task,High,Production,Art,"Thiết kế 52 lá bài + mặt sau, đảm bảo rõ ràng ở kích thước nhỏ"
Table & Background Art,Task,High,Production,Art,"Bàn chơi poker, background các phòng chơi (VIP, Normal, Tournament)"
Character/Avatar Design,Task,Medium,Production,Art,"Avatar người chơi, dealer, emotion/reaction animations"
Chip & Token Assets,Task,Medium,Production,Art,"Chip các mệnh giá, token, icon tiền, reward icons"
Design Bàn chơi,Task,High,Production,Design,Design chi tiết bàn chơi poker với các vị trí người chơi
UI Design - Lobby & Menu,Task,High,Production,Design,"UI hoàn chỉnh lobby, menu, room list, player profile preview"
UI Design - Gameplay Screen,Task,High,Production,Design,"UI màn chơi: action buttons, pot display, player info, chat"
UI Design - Shop & Profile,Task,Medium,Production,Design,"UI cửa hàng mua chip/item, trang cá nhân, lịch sử chơi"
UI Animation Specs,Task,Medium,Production,Design,"Spec chuyển động UI, transition giữa màn hình, micro-interactions"
Core Engine - Card Logic,Task,High,Production,Dev,"Engine xử lý bài: shuffle, deal, hand evaluation, winner determination"
Betting System,Task,High,Production,Dev,"Hệ thống đặt cược: bet, raise, call, fold, all-in, pot calculation, side pot"
Multiplayer/Networking,Task,High,Production,Dev,"Kết nối multiplayer, room system, matchmaking, real-time sync"
UI Implementation - Lobby,Task,High,Production,Dev,"Code UI lobby từ design: room list, quick join, create room, filters"
UI Implementation - Gameplay,Task,High,Production,Dev,"Code UI gameplay từ design: card animations, betting UI, player seats"
Backend API & Database,Task,High,Production,Dev,"API user management, room CRUD, leaderboard, transaction history, DB schema"
AI Bot Logic,Task,Medium,Production,Dev,"AI bot cho single player: difficulty levels, natural betting patterns"
Shop & In-app Purchase,Task,Medium,Production,Dev,"Cửa hàng, mua chip, item, payment integration"
Sound Effects (SFX),Task,Medium,Production,Multimedia,"Âm thanh chia bài, chip stacking, win/lose, button click, notification"
Background Music,Task,Low,Production,Multimedia,"Nhạc nền lobby (relaxed), gameplay (tension), victory fanfare"
Card Animation & VFX,Task,Medium,Production,Multimedia,"Animation chia bài, lật bài, VFX cho winning hand, jackpot"
Sprint Review & Tracking,Task,High,Production,PM,"Review tiến độ hàng tuần, update timeline, resolve blockers"
Build & Deployment Setup,Task,High,Production,OP,"Setup CI/CD pipeline, build automation, staging environment"
Functional Testing,Task,High,Testing & QA,QC,"Test chức năng core gameplay: dealing, betting, hand evaluation, pot"
Integration Testing,Task,High,Testing & QA,Dev,Test tích hợp multiplayer + API + database end-to-end
Performance Testing,Task,Medium,Testing & QA,Dev,"Test hiệu năng: concurrent users, latency, memory, CPU usage"
Bug Fixing Sprint,Task,High,Testing & QA,Dev,Fix bug từ QA report: Critical → Major → Minor priority
UI/UX Polish,Task,Medium,Testing & QA,Design,"Chỉnh sửa UI từ feedback test: alignment, spacing, responsiveness"
Art Asset Polish,Task,Low,Testing & QA,Art,"Chỉnh sửa art assets từ feedback: color, size, clarity issues"
Final Build & Release,Task,High,Testing & QA,OP,"Build final, deploy lên production, smoke test, release notes"
Release Sign-off,Task,High,Testing & QA,PM,"Nghiệm thu cuối cùng, PM sign-off, go/no-go decision, release"
